ano_eleicao,sigla_uf,codigo_municipio,nome_municipio,total_votos_municipio,enpv,codmun,regiao,qtd_veiculos,veiculos_por_100k_hab,populacao_2020,idhm,idhm_r,idhm_e
2020,AC,01007,Bujari,13777,8.345027039401716,1200138,Norte,0,0,10420,0.589,0.603,0.439
2020,AC,01015,Capixaba,11515,9.046891056293953,1200179,Norte,0,0,12008,0.575,0.601,0.398
2020,AC,01023,Porto Acre,18549,6.785989701417394,1200807,Norte,0,0,18824,0.576,0.593,0.418
2020,AC,01031,Santa Rosa Do Purus,5494,7.615750232756467,1200435,Norte,0,0,6717,0.517,0.519,0.34
2020,AC,01040,Marechal Thaumaturgo,16419,6.834998599576524,1200351,Norte,0,0,19299,0.501,0.479,0.361
2020,AC,01058,Brasiléia,25052,6.318941117569394,1200104,Norte,3,11.2351,26702,0.614,0.619,0.485
2020,AC,01066,Porto Walter,10615,5.428670325311497,1200393,Norte,1,8.1693,12241,0.532,0.521,0.397
2020,AC,01074,Cruzeiro Do Sul,83388,8.20864046249713,1200203,Norte,17,19.0857,89072,0.664,0.648,0.582
2020,AC,01082,Rodrigues Alves,17627,5.717688556937461,1200427,Norte,0,0,19351,0.567,0.518,0.477
2020,AC,01090,Mâncio Lima,17759,7.3383640126099525,1200336,Norte,0,0,19311,0.625,0.58,0.546
2020,AC,01104,Jordão,8006,6.373808292628599,1200328,Norte,1,11.8022,8473,0.469,0.499,0.283
2020,AC,01112,Epitaciolândia,17463,7.898453751006,1200252,Norte,0,0,18696,0.653,0.654,0.553
2020,AC,01120,Acrelândia,13331,8.237494254074456,1200013,Norte,1,6.4558,15490,0.604,0.584,0.466
2020,AC,01139,Feijó,30302,6.700979202390617,1200302,Norte,0,0,34884,0.539,0.559,0.388
2020,AC,01392,Rio Branco,511910,5.219181909776571,1200401,Norte,59,14.2713,413418,0.727,0.729,0.661
2020,AC,01457,Sena Madureira,41962,5.411728787220318,1200500,Norte,1,2.1500,46511,0.603,0.593,0.456
2020,AC,01473,Tarauacá,36067,10.084098195972791,1200609,Norte,1,2.3174,43151,0.539,0.554,0.392
2020,AC,01490,Xapuri,16937,6.517096082251613,1200708,Norte,0,0,19596,0.599,0.621,0.448
2020,AC,01511,Plácido De Castro,18375,8.547851589176187,1200385,Norte,0,0,19955,0.622,0.593,0.517
2020,AC,01538,Senador Guiomard,26548,7.159663964570123,1200450,Norte,3,12.9110,23236,0.64,0.649,0.513
2020,AC,01554,Manoel Urbano,10538,5.845744429406689,1200344,Norte,0,0,9581,0.551,0.586,0.373
2020,AC,01570,Assis Brasil,9129,7.5217151775867634,1200054,Norte,0,0,7534,0.588,0.578,0.456
2020,AL,27006,Paripueira,16024,4.768620538533034,2706448,Nordeste,0,0,13332,0.605,0.595,0.486
2020,AL,27014,Água Branca,21391,5.813055232989081,2700102,Nordeste,0,0,20230,0.549,0.527,0.432
2020,AL,27022,Pariconha,6690,1.9532410260698352,2706422,Nordeste,0,0,10539,0.548,0.526,0.416
2020,AL,27030,Anadia,17666,1.9662409491819788,2700201,Nordeste,2,11.4116,17526,0.568,0.546,0.444
2020,AL,27049,Estrela De Alagoas,15041,3.8192226600057633,2702553,Nordeste,0,0,18255,0.534,0.515,0.41
2020,AL,27057,Arapiraca,210823,7.93595180649997,2700300,Nordeste,15,6.4365,233047,0.649,0.638,0.549
2020,AL,27065,Jequiá Da Praia,12779,5.486837882821662,2703759,Nordeste,0,0,11536,0.556,0.517,0.43
2020,AL,27073,Atalaia,43459,3.050929131924146,2700409,Nordeste,2,4.2225,47365,0.561,0.545,0.431
2020,AL,27081,Campestre,8260,3.7484899476720304,2701357,Nordeste,0,0,6954,0.559,0.55,0.435
2020,AL,27090,Barra De Santo Antônio,18112,3.7416756625778897,2700508,Nordeste,0,0,16068,0.557,0.552,0.428
2020,AL,27111,Barra De São Miguel,10705,5.711874552813657,2700607,Nordeste,0,0,8378,0.615,0.638,0.475
2020,AL,27138,Batalha,19708,4.751660403873917,2700706,Nordeste,0,0,18338,0.594,0.563,0.496
2020,AL,27154,Belém,5687,3.9852180085892606,2700805,Nordeste,0,0,4284,0.593,0.587,0.464
2020,AL,27170,Belo Monte,9416,3.6897820058141884,2700904,Nordeste,0,0,6710,0.517,0.507,0.376
2020,AL,27197,Boca Da Mata,26678,4.01804341191065,2701001,Nordeste,0,0,27356,0.604,0.56,0.518
2020,AL,27219,Branquinha,12100,4.218974973216813,2701100,Nordeste,0,0,10460,0.513,0.534,0.362
2020,AL,27235,Cacimbinhas,11042,1.1306859864366385,2701209,Nordeste,0,0,10889,0.531,0.559,0.384
2020,AL,27251,Cajueiro,19343,4.903549500213015,2701308,Nordeste,0,0,21331,0.562,0.542,0.473
2020,AL,27278,Campo Alegre,34024,3.9030936062213994,2701407,Nordeste,2,3.4760,57537,0.57,0.531,0.47
2020,AL,27294,Campo Grande,9473,4.230883515605232,2701506,Nordeste,0,0,9567,0.524,0.502,0.387
2020,AL,27316,Canapi,18963,4.045820576955171,2701605,Nordeste,1,5.6437,17719,0.506,0.504,0.357
2020,AL,27332,Capela,19140,1.9902102670254025,2701704,Nordeste,0,0,16979,0.573,0.554,0.456
2020,AL,27359,Carneiros,9330,3.9843544028473508,2701803,Nordeste,0,0,9159,0.526,0.517,0.398
2020,AL,27375,Chã Preta,8470,4.244979962928192,2701902,Nordeste,0,0,7311,0.575,0.537,0.481
2020,AL,27391,Coité Do Nóia,12964,3.245285032902708,2702009,Nordeste,0,0,10643,0.533,0.52,0.398
2020,AL,27413,Colônia Leopoldina,20497,5.188752789114966,2702108,Nordeste,0,0,21818,0.517,0.548,0.363
2020,AL,27430,Coqueiro Seco,8108,6.121657910621103,2702207,Nordeste,0,0,5864,0.586,0.582,0.457
2020,AL,27456,Coruripe,55628,4.837683644181013,2702306,Nordeste,2,3.4908,57294,0.626,0.591,0.541
2020,AL,27472,Delmiro Gouveia,52770,8.180389283036408,2702405,Nordeste,5,9.5672,52262,0.612,0.599,0.494
2020,AL,27499,Dois Riachos,13558,2.971668369456963,2702504,Nordeste,0,0,11067,0.532,0.513,0.385
2020,AL,27510,Feira Grande,26705,3.9553071115832252,2702603,Nordeste,0,0,22178,0.533,0.512,0.402
2020,AL,27537,Feliz Deserto,5376,4.690073291482778,2702702,Nordeste,0,0,4779,0.565,0.55,0.462
2020,AL,27553,Flexeiras,11560,4.391398991770104,2702801,Nordeste,0,0,12807,0.527,0.528,0.4
2020,AL,27570,Girau Do Ponciano,37779,4.449224526725263,2702900,Nordeste,1,2.4250,41237,0.536,0.498,0.405
2020,AL,27596,Ibateguara,16084,3.787583901637949,2703007,Nordeste,2,12.7984,15627,0.518,0.517,0.393
2020,AL,27618,Igaci,26744,4.67203375876158,2703106,Nordeste,1,3.9043,25613,0.564,0.547,0.424
2020,AL,27634,Igreja Nova,25107,5.355696987228558,2703205,Nordeste,1,4.0674,24586,0.568,0.556,0.428
2020,AL,27650,Inhapi,18172,3.522257538018429,2703304,Nordeste,3,16.3114,18392,0.484,0.501,0.316
2020,AL,27677,Jacaré Dos Homens,7767,2.9654823752354953,2703403,Nordeste,0,0,5219,0.583,0.543,0.481
2020,AL,27693,Jacuípe,8974,4.283756882613749,2703502,Nordeste,0,0,7006,0.548,0.532,0.41
2020,AL,27715,Japaratinga,10871,4.579999241179418,2703601,Nordeste,0,0,8403,0.57,0.56,0.451
2020,AL,27731,Jaramataia,7664,2.867894871499411,2703700,Nordeste,0,0,5761,0.552,0.532,0.451
2020,AL,27758,Joaquim Gomes,16593,3.1670143955393777,2703809,Nordeste,1,4.1527,24081,0.531,0.509,0.386
2020,AL,27774,Jundiá,6791,4.367152945632746,2703908,Nordeste,0,0,4137,0.562,0.573,0.434
2020,AL,27790,Junqueiro,28548,4.605594373141977,2704005,Nordeste,0,0,24722,0.575,0.586,0.454
2020,AL,27812,Lagoa Da Canoa,23597,5.5774176722789885,2704104,Nordeste,0,0,17771,0.552,0.541,0.443
2020,AL,27839,Limoeiro De Anadia,26314,5.9848875810919395,2704203,Nordeste,0,0,28771,0.58,0.575,0.457
2020,AL,27855,Maceió,1130201,6.302636209755276,2704302,Nordeste,76,7.4120,1025360,0.721,0.739,0.635
2020,AL,27871,Major Isidoro,21762,3.036631582089931,2704401,Nordeste,0,0,19864,0.566,0.566,0.424
2020,AL,27898,Maragogi,31535,5.307630913248651,2704500,Nordeste,2,6.0547,33032,0.574,0.556,0.443
2020,AL,27910,Maravilha,11046,5.5166687660739155,2704609,Nordeste,0,0,9004,0.569,0.539,0.46
2020,AL,27936,Marechal Deodoro,57880,6.15519864820213,2704708,Nordeste,3,5.7274,52380,0.642,0.641,0.52
2020,AL,27952,Maribondo,14978,4.525020582808645,2704807,Nordeste,0,0,13193,0.597,0.581,0.487
2020,AL,27979,Mar Vermelho,5707,1.9746208810366341,2704906,Nordeste,0,0,3494,0.577,0.54,0.465
2020,AL,27995,Mata Grande,24764,2.1117115581899557,2705002,Nordeste,1,3.9672,25207,0.504,0.506,0.369
2020,AL,28010,Matriz De Camaragibe,26162,5.174820127338711,2705101,Nordeste,0,0,24634,0.584,0.541,0.473
2020,AL,28037,Messias,18918,3.4871291394654937,2705200,Nordeste,1,5.5460,18031,0.568,0.557,0.46
2020,AL,28053,Minador Do Negrão,7364,4.520337916925838,2705309,Nordeste,0,0,5322,0.563,0.541,0.43
2020,AL,28070,Monteirópolis,8500,5.978475832063166,2705408,Nordeste,0,0,7165,0.539,0.497,0.443
2020,AL,28096,Murici,25011,2.0855597600472193,2705507,Nordeste,1,3.5295,28333,0.527,0.542,0.395
2020,AL,28118,Novo Lino,13962,3.295979937238606,2705606,Nordeste,0,0,12764,0.521,0.546,0.375
2020,AL,28134,Olho D Água Das Flores,6976,1.0188089279800803,2705705,Nordeste,1,4.6002,21738,0.565,0.568,0.422
2020,AL,28150,Olho D Água Do Casado,10761,5.27738405469599,2705804,Nordeste,0,0,9441,0.525,0.527,0.35
2020,AL,28177,Olho D Água Grande,6752,3.5010156050694707,2705903,Nordeste,0,0,5128,0.503,0.473,0.399
2020,AL,28193,Olivença,14027,4.701079935528477,2706000,Nordeste,0,0,11657,0.493,0.513,0.345
2020,AL,28215,Ouro Branco,13094,4.8015970892356945,2706109,Nordeste,0,0,11535,0.547,0.538,0.434
2020,AL,28231,Palestina,7739,4.9608255270121004,2706208,Nordeste,0,0,5037,0.558,0.505,0.467
2020,AL,28258,Palmeira Dos Índios,70327,6.249525443768812,2706307,Nordeste,4,5.4543,73337,0.638,0.625,0.523
2020,AL,28274,Pão De Açúcar,26488,5.567406153961007,2706406,Nordeste,1,4.1066,24351,0.593,0.536,0.491
2020,AL,28290,Passo De Camaragibe,17924,6.711416213215242,2706505,Nordeste,0,0,15258,0.533,0.513,0.421
2020,AL,28312,Paulo Jacinto,9221,4.550373240263871,2706604,Nordeste,0,0,7560,0.589,0.551,0.507
2020,AL,28339,Penedo,56570,6.859057296531792,2706703,Nordeste,8,12.5302,63846,0.63,0.602,0.536
2020,AL,28355,Piaçabuçu,20152,7.597050862736651,2706802,Nordeste,1,5.6029,17848,0.572,0.538,0.479
2020,AL,28371,Pilar,38301,3.94634751156101,2706901,Nordeste,0,0,35212,0.61,0.578,0.509
2020,AL,28398,Pindoba,4141,2.6870257655718284,2707008,Nordeste,0,0,2905,0.574,0.579,0.465
2020,AL,28410,Piranhas,26468,5.254920308135425,2707107,Nordeste,0,0,25183,0.589,0.563,0.462
2020,AL,28436,Poço Das Trincheiras,14976,3.2744074269232915,2707206,Nordeste,0,0,14418,0.526,0.484,0.419
2020,AL,28452,Porto Calvo,30252,3.953307179465696,2707305,Nordeste,0,0,27249,0.586,0.558,0.498
2020,AL,28479,Porto De Pedras,10779,3.2692761483992903,2707404,Nordeste,1,12.9853,7701,0.541,0.542,0.379
2020,AL,28495,Porto Real Do Colégio,23907,3.7086688829774723,2707503,Nordeste,0,0,20112,0.551,0.513,0.431
2020,AL,28517,Quebrangulo,12937,3.224734888404472,2707602,Nordeste,0,0,11248,0.559,0.536,0.421
2020,AL,28533,Rio Largo,85062,5.863590525643932,2707701,Nordeste,0,0,75394,0.643,0.616,0.547
2020,AL,28550,Roteiro,8396,4.5583295440378215,2707800,Nordeste,0,0,6649,0.505,0.524,0.365
2020,AL,28576,Santa Luzia Do Norte,8954,4.478041742344126,2707909,Nordeste,0,0,7320,0.597,0.58,0.477
2020,AL,28592,Santana Do Ipanema,44148,4.887494198462858,2708006,Nordeste,4,8.3649,47819,0.591,0.579,0.463
2020,AL,28614,Santana Do Mundaú,12766,5.047598912595456,2708105,Nordeste,1,9.3572,10687,0.519,0.513,0.362
2020,AL,28630,São Brás,10642,3.370129705109614,2708204,Nordeste,0,0,6969,0.572,0.533,0.48
2020,AL,28657,São José Da Laje,23717,4.280677709126392,2708303,Nordeste,1,4.1674,23996,0.573,0.574,0.434
2020,AL,28673,São José Da Tapera,28423,5.410309980323654,2708402,Nordeste,1,3.0859,32405,0.527,0.508,0.409
2020,AL,28690,São Luís Do Quitunde,33461,4.116468418679422,2708501,Nordeste,0,0,34692,0.536,0.55,0.4
2020,AL,28711,São Miguel Dos Campos,58979,7.016231297414182,2708600,Nordeste,3,4.8546,61797,0.623,0.612,0.514
2020,AL,28738,São Miguel Dos Milagres,11660,5.47538345638041,2708709,Nordeste,0,0,8013,0.591,0.545,0.504
2020,AL,28754,São Sebastião,37021,5.6761542684564565,2708808,Nordeste,0,0,34290,0.549,0.537,0.432
2020,AL,28770,Satuba,17401,4.705653608870141,2708907,Nordeste,0,0,13936,0.66,0.619,0.585
2020,AL,28797,Tanque D Arca,8003,4.623205618932215,2709004,Nordeste,0,0,6138,0.555,0.531,0.43
2020,AL,28819,Taquarana,19294,5.337411936491041,2709103,Nordeste,0,0,20072,0.541,0.529,0.421
2020,AL,28835,Traipu,24068,4.376539570654305,2709202,Nordeste,3,10.7813,27826,0.532,0.499,0.395
2020,AL,28851,União Dos Palmares,61702,9.144979828849891,2709301,Nordeste,7,10.6399,65790,0.593,0.59,0.462
2020,AL,28878,Viçosa,28740,5.335155770672495,2709400,Nordeste,2,7.7842,25693,0.586,0.554,0.478
2020,AL,28894,Craíbas,29159,5.089681924960315,2702355,Nordeste,0,0,24309,0.525,0.517,0.408
2020,AL,28916,Senador Rui Palmeira,12391,3.2224075122028024,2708956,Nordeste,0,0,13921,0.518,0.481,0.398
2020,AL,28932,Teotônio Vilela,38399,3.681822997332964,2709152,Nordeste,1,2.2537,44372,0.564,0.549,0.466
2020,AM,02003,Apuí,14412,6.047615223683076,1300144,Norte,1,4.4725,22359,0.637,0.621,0.54
2020,AM,02011,Novo Airão,17168,5.825397663035807,1303205,Norte,0,0,19928,0.57,0.551,0.434
2020,AM,02020,Guajará,16686,6.2807624894579055,1301654,Norte,0,0,16937,0.532,0.51,0.387
2020,AM,02038,Anori,13640,3.7862253305673854,1300102,Norte,1,4.6561,21477,0.561,0.54,0.433
2020,AM,02046,Careiro Da Várzea,25242,8.096443760327544,1301159,Norte,0,0,30846,0.568,0.523,0.45
2020,AM,02054,Atalaia Do Norte,13078,7.630806287887657,1300201,Norte,1,4.9024,20398,0.45,0.481,0.259
2020,AM,02070,Autazes,41995,8.203860716572368,1300300,Norte,2,4.9640,40290,0.577,0.539,0.446
2020,AM,02097,Barcelos,16032,8.798226066927512,1300409,Norte,1,3.6182,27638,0.5,0.545,0.315
2020,AM,02119,Barreirinha,31038,5.820317590227456,1300508,Norte,1,3.0785,32483,0.574,0.469,0.522
2020,AM,02135,Benjamin Constant,32842,8.241752634644188,1300607,Norte,1,2.2761,43935,0.574,0.526,0.471
2020,AM,02151,Boca Do Acre,31738,7.365439286787852,1300706,Norte,1,2.8873,34635,0.588,0.576,0.455
2020,AM,02178,Borba,33672,10.678311998721092,1300805,Norte,0,0,41748,0.56,0.532,0.425
2020,AM,02194,Canutama,14027,5.596988800687535,1300904,Norte,0,0,15807,0.53,0.522,0.379
2020,AM,02216,Carauari,29280,3.7611284325888725,1301001,Norte,1,3.5078,28508,0.549,0.534,0.416
2020,AM,02232,Careiro,34890,6.647871902084533,1301100,Norte,1,2.6077,38348,0.557,0.515,0.431
2020,AM,02275,Codajás,23719,6.385175923332439,1301308,Norte,0,0,29168,0.563,0.546,0.421
2020,AM,02291,Eirunepé,30174,5.440244749096146,1301407,Norte,0,0,35700,0.563,0.548,0.431
2020,AM,02313,Envira,15100,7.354432489786818,1301506,Norte,0,0,20393,0.509,0.521,0.349
2020,AM,02330,Fonte Boa,23723,8.090030241620303,1301605,Norte,1,5.8806,17005,0.53,0.518,0.4
2020,AM,02356,Humaitá,46700,7.0070144941606,1301704,Norte,1,1.7811,56144,0.605,0.621,0.451
2020,AM,02372,Santa Isabel Do Rio Negro,9524,9.504631469177468,1303601,Norte,0,0,25865,0.479,0.461,0.323
2020,AM,02399,Ipixuna,17281,5.442563445840597,1301803,Norte,0,0,30436,0.481,0.476,0.302
2020,AM,02410,Itacoatiara,100655,11.002810188341941,1301902,Norte,1,0.9737,102701,0.644,0.618,0.534
2020,AM,02437,Itapiranga,13092,6.695008427719417,1302009,Norte,0,0,9230,0.654,0.594,0.594
2020,AM,02453,Japurá,7521,6.37626285711838,1302108,Norte,0,0,2251,0.522,0.552,0.345
2020,AM,02470,Juruá,10259,5.7549485865153525,1302207,Norte,0,0,15106,0.522,0.538,0.376
2020,AM,02496,Jutaí,20471,5.502955038155392,1302306,Norte,0,0,13886,0.516,0.528,0.34
